title,revenue,release,prod_budget,genre,company
A Most Violent Year,1,12,1,Crime,Participant Media
Passchendaele,0,10,0,Drama,Rhombus Media
Flash of Genius,0,9,0,Drama,Universal Pictures
I'm Not There.,1,10,1,Drama,Endgame Entertainment
The Cold Light of Day,1,4,1,Action,Summit Entertainment
The Brothers Bloom,1,9,1,Adventure,The Weinstein Company
"Synecdoche, New York",0,10,1,Drama,Likely Story
Princess Mononoke,3,7,1,Adventure,Miramax Films
Can't Stop the Music,0,6,0,Comedy,EMI Films
The Proposition,1,10,1,Action,Autonomous
My All American,0,11,1,Drama,Paul Schiff Productions
Marci X,1,8,1,Comedy,Paramount Pictures
Equilibrium,1,12,1,Action,Dimension Films
The Children of Huang Shi,1,7,1,Drama,Australian Film Finance Corporation
The Yards,0,4,0,Drama,Miramax Films
By the Sea,1,11,1,Drama,Plan B Entertainment
Steamboy,0,7,1,Animation,Bandai Visual Company
The Game of Their Lives,0,1,0,Drama,Bristol Bay Productions
All Good Things,0,12,0,Drama,The Weinstein Company
Rapa Nui,1,9,1,Adventure,Tig Productions
CJ7,1,1,0,Comedy,Columbia Pictures Film Production Asia
The Visitors II: The Corridors of Time,0,2,0,Comedy,Gaumont
Dylan Dog: Dead of Night,1,3,1,Action,Hyde Park Films
The Tempest,1,12,1,Drama,Miramax Films
Regression,1,10,0,Horror,The Weinstein Company
Three Kingdoms: Resurrection of the Dragon,0,4,0,Action,Visualizer Film Productions
Butterfly on a Wheel,0,7,1,Crime,Icon Productions
Zambezia,0,6,1,Comedy,Industrial Development Corporation of South Africa
Ramanujan,0,7,0,Drama,Camphor Cinema
Hands of Stone,0,8,1,Drama,"Weinstein Company, The"
Survivor,0,5,1,Thriller,Nu Image Films
The Frozen Ground,1,7,1,Thriller,Grindstone Entertainment Group
The Painted Veil,0,12,1,Drama,Emotion Pictures
The Baader Meinhof Complex,0,9,1,Action,Nouvelles Éditions de Films (NEF)
Dances with Wolves,8,11,1,Adventure,Tig Productions
Bad Teacher,3,5,1,Comedy,Columbia Pictures
Sea of Love,3,9,1,Drama,Universal Pictures Corporation
A Cinderella Story,1,7,1,Comedy,Gaylord Films
Scream,3,12,1,Crime,Woods Entertainment
Thir13en Ghosts,0,10,0,Horror,Columbia Pictures Corporation
The Shining,2,5,2,Horror,Hawk Films
Back to the Future,9,7,1,Adventure,Universal Pictures
House on Haunted Hill,1,10,1,Horror,Dark Castle Entertainment
I Can Do Bad All By Myself,0,9,0,Drama,Lions Gate Films
Fight Valley,0,7,1,Action,Cinestyle Media Group
The Switch,1,5,1,Comedy,Mandate Pictures
Just Married,2,1,1,Comedy,Twentieth Century Fox Film Corporation
The Devil's Double,1,2,1,Drama,Corrino Media Corporation
Thomas and the Magic Railroad,0,7,0,Animation,Destination Films
The Crazies,1,2,1,Mystery,Penn Station Entertainment
Spirited Away,4,7,1,Fantasy,Studio Ghibli
Firestorm,0,12,0,Action,Focus Films
The Bounty,1,5,2,Action,Dino De Laurentiis Company
The Book Thief,1,11,0,Drama,Studio Babelsberg
Sex Drive,1,10,1,Comedy,"Summit Entertainment, LLC"
Leap Year,1,1,1,Romance,Universal Pictures
The Fall of the Roman Empire,1,3,3,Drama,Paramount Pictures
Take Me Home Tonight,1,3,1,Comedy,Imagine Entertainment
Won't Back Down,1,9,0,Drama,Gran Via Productions
The Nutcracker,1,11,1,Family,Warner Bros. Family Entertainment
Kansas City,0,8,1,Thriller,Fine Line Features
Indignation,0,7,0,Drama,Likely Story
The Amityville Horror,2,4,1,Horror,Platinum Dunes
Adaptation.,1,12,1,Comedy,Beverly Detroit
Land of the Dead,1,6,1,Horror,Universal Pictures
Out of Inferno,0,3,0,Action,Sun Entertainment Culture
Fear and Loathing in Las Vegas,1,5,1,Adventure,Universal Pictures
The Invention of Lying,1,9,1,Comedy,Media Rights Capital
Neighbors,3,5,1,Comedy,Universal Pictures
The Mask,6,7,1,Romance,New Line Cinema
Big,4,6,1,Fantasy,Gracie Films
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,4,11,1,Comedy,Twentieth Century Fox Film Corporation
Legally Blonde,2,7,1,Comedy,Marc Platt Productions
Star Trek III: The Search for Spock,3,5,1,Science Fiction,Paramount Pictures
The Exorcism of Emily Rose,2,9,1,Crime,Lakeshore Entertainment
Deuce Bigalow: Male Gigolo,1,12,1,Comedy,Happy Madison Productions
Left Behind,1,10,1,Thriller,Stoney Lake Entertainment
The Family Stone,0,12,0,Comedy,Fox 2000 Pictures
Barbershop 2:  Back in Business,1,1,1,Comedy,Metro-Goldwyn-Mayer (MGM)
Bad Santa,2,11,1,Drama,Columbia Pictures
Austin Powers: International Man of Mystery,2,5,1,Science Fiction,New Line Cinema
My Big Fat Greek Wedding 2,1,3,1,Romance,Universal Pictures
Diary of a Wimpy Kid: Rodrick Rules,1,3,1,Family,Fox 2000 Pictures
Predator,3,6,1,Science Fiction,Twentieth Century Fox Film Corporation
Amadeus,2,10,1,Drama,Warner Bros.
Prom Night,1,4,0,Crime,Alliance Films
Mean Girls,2,4,1,Comedy,Paramount Pictures
Under the Tuscan Sun,0,4,0,Comedy,Timnick Films
Gosford Park,2,11,1,Drama,USA Films
Peggy Sue Got Married,1,10,1,Comedy,American Zoetrope
Birdman,2,8,1,Drama,Worldview Entertainment
Blue Jasmine,2,7,1,Comedy,Perdido Productions
United 93,1,4,1,Drama,Universal Pictures
Honey,1,11,1,Romance,Universal Pictures
Spy Hard,0,5,1,Action,Hollywood Pictures
The Fog,1,2,1,Horror,AVCO Embassy Pictures
Soul Surfer,1,4,1,Action,Mandalay Pictures
Catch-22,2,6,3,War,Paramount Pictures
Observe and Report,1,4,0,Comedy,Legendary Pictures
Conan the Destroyer,3,6,1,Adventure,De Laurentiis Entertainment Group
Raging Bull,1,11,2,Drama,United Artists
Love Happens,1,9,1,Drama,Universal Pictures
Young Sherlock Holmes,0,12,1,Action,Paramount Pictures
Fame,0,1,0,Music,United Artists
127 Hours,1,11,1,Adventure,Fox Searchlight Pictures
Small Time Crooks,0,5,0,Action,DreamWorks SKG
Center Stage,1,5,1,Drama,Columbia Pictures
Love the Coopers,1,11,1,Comedy,Imagine Entertainment
Catch That Kid,1,2,1,Family,Fox 2000 Pictures
Life as a House,0,10,1,Drama,New Line Cinema
Steve Jobs,1,10,1,Drama,Universal Pictures
"I Love You, Beth Cooper",0,7,1,Comedy,Ingenious Film Partners
Youth in Revolt,0,9,1,Drama,Dimension Films
The Legend of the Lone Ranger,1,8,1,Action,ITC Entertainment
The Tailor of Panama,1,2,1,Drama,Columbia Pictures
Blow Out,1,7,1,Drama,Cinema 77
Getaway,1,8,1,Action,Dark Castle Entertainment
The Ice Storm,1,9,1,Drama,Fox Searchlight Pictures
And So It Goes,1,7,1,Comedy,Castle Rock Entertainment
Troop Beverly Hills,0,3,0,Adventure,Columbia Pictures
Being Julia,0,9,0,Comedy,Serendipity Point Films
Nine 1/2 Weeks,1,2,1,Drama,Metro-Goldwyn-Mayer (MGM)
Dragonslayer,1,6,1,Fantasy,Paramount Pictures
The Last Station,0,9,0,Drama,Zephyr Films
Ed Wood,1,9,1,Comedy,Touchstone Pictures
Labor Day,1,12,1,Drama,Mr. Mudd Production
Mongol: The Rise of Genghis Khan,1,9,1,History,Kinokompaniya CTB
RockNRolla,1,9,1,Action,StudioCanal
Megaforce,0,6,0,Adventure,Golden Harvest Company
Hamlet,0,12,0,Drama,Castle Rock Entertainment
Mao's Last Dancer,1,10,1,Drama,Great Scott Productions Pty. Ltd.
Midnight Special,1,2,1,Adventure,Warner Bros.
Anything Else,0,8,0,Comedy,DreamWorks SKG
The Railway Man,1,12,1,Drama,Archer Street Productions
The White Ribbon,0,5,1,Crime,Les Films du Losange
The Wraith,1,11,1,Romance,New Century Entertainment Corporation
Salton Sea,1,1,1,Drama,Castle Rock Entertainment
Metallica: Through the Never,1,9,1,Music,Exclusive Media Group
The Informers,1,11,1,Drama,Senator Entertainment Co
Carlos,1,5,1,Crime,Egoli Tossell Film AG
I Come with the Rain,0,5,1,Thriller,Central-Europa Film
One Man's Hero,0,8,0,Western,Filmax
Day of the Dead,1,7,1,Horror,Dead Films
I Am Wrath,0,4,1,Action,Patriot Pictures
Renaissance,1,3,1,Action,Onyx Films
Red Sonja,1,4,1,Adventure,Famous Films (II)
Red Lights,1,3,1,Thriller,First Generation Films
Superbad,2,8,1,Comedy,Columbia Pictures
Madea Goes to Jail,2,2,0,Comedy,Lions Gate Films
Wolves,0,8,1,Horror,Copperheart Entertainment
Step Up 2: The Streets,2,2,1,Music,Summit Entertainment
Hoodwinked!,1,12,1,Animation,The Weinstein Company
Hotel Rwanda,1,9,1,Drama,Lions Gate Films
Hitman,2,11,1,Action,Twentieth Century Fox Film Corporation
Black Nativity,1,11,1,Drama,Fox Searchlight Pictures
The Prince,3,8,1,Thriller,Grindstone Entertainment Group
The Others,0,8,0,Horror,Cruise/Wagner Productions
Aliens,5,7,1,Horror,Twentieth Century Fox Film Corporation
My Fair Lady,6,10,3,Drama,Warner Bros.
I Know What You Did Last Summer,2,10,1,Horror,Columbia Pictures Corporation
Let's Be Cops,2,8,1,Comedy,Twentieth Century Fox Film Corporation
Sideways,2,10,1,Comedy,Fox Searchlight Pictures
Beerfest,1,8,1,Comedy,Broken Lizard Industries
Halloween,3,10,1,Horror,Compass International Pictures
Good Boy!,0,10,1,Comedy,Jim Henson Pictures
The Best Man Holiday,1,11,1,Comedy,Universal
Smokin' Aces,1,12,1,Action,Universal Pictures
Saw: The Final Chapter,2,10,1,Horror,Lionsgate
40 Days and 40 Nights,0,3,1,Comedy,Miramax Films
A Night at the Roxbury,1,10,1,Comedy,Paramount Pictures
Beastly,1,1,1,Drama,CBS Films
The Hills Have Eyes,1,3,1,Horror,Fox Searchlight Pictures
Dickie Roberts: Former Child Star,0,9,0,Comedy,Paramount Pictures
"McFarland, USA",1,2,0,Drama,Walt Disney Pictures
Lottery Ticket,0,8,0,Comedy,Cube Vision
ATL,1,3,1,Drama,Warner Bros.
Pitch Perfect,2,9,1,Comedy,Brownstone Productions
Summer Catch,1,8,1,Drama,Tollin/Robbins Productions
A Simple Plan,0,12,0,Drama,Paramount Pictures
They,0,11,1,Horror,Dimension Films
Larry the Cable Guy: Health Inspector,0,3,0,Comedy,Parallel Pictures
The Adventures of Elmo in Grouchland,0,10,0,Family,Columbia Pictures
Brooklyn's Finest,1,1,1,Crime,Nu Image Films
55 Days at Peking,1,5,3,Action,Allied Artists Pictures
Evil Dead,2,4,1,Horror,TriStar Pictures
My Life in Ruins,1,2,1,Comedy,Fox Searchlight Pictures
American Dreamz,1,3,1,Comedy,Universal Pictures
Superman IV: The Quest for Peace,1,7,1,Action,Cannon Films
How She Move,0,1,0,Drama,MTV Films
Running Scared,1,1,1,Action,International Production Company
Bobby Jones: Stroke of Genius,0,4,0,Drama,Dean River Productions
Shanghai Surprise,0,8,1,Adventure,HandMade Films
The Illusionist,2,8,1,Fantasy,Michael London Productions
Roar,1,11,1,Adventure,American Filmworks
Veronica Guerin,1,7,1,Drama,Jerry Bruckheimer Films
Escobar: Paradise Lost,1,10,1,Thriller,Nexus Factory
Southland Tales,1,5,1,Action,Universal Pictures
Dragon Hunters,0,3,1,Animation,Futurikon
Damnation Alley,1,9,2,Action,Twentieth Century Fox Film Corporation
The Apparition,1,8,1,Horror,StudioCanal
My Girl,0,11,1,Comedy,Columbia Pictures
Fur: An Imaginary Portrait of Diane Arbus,1,8,1,Drama,River Road Entertainment
Wall Street,1,12,1,Crime,Twentieth Century Fox Film Corporation
Sense and Sensibility,3,12,1,Drama,Columbia Pictures Corporation
Becoming Jane,1,3,1,Drama,Ecosse Films
Sydney White,1,9,1,Comedy,Morgan Creek Productions
House of Sand and Fog,1,12,1,Drama,DreamWorks SKG
Dead Poets Society,5,6,1,Drama,Touchstone Pictures
Dumb and Dumber,5,12,1,Comedy,New Line Cinema
When Harry Met Sally...,2,7,1,Comedy,Castle Rock Entertainment
The Verdict,2,12,1,Drama,Twentieth Century Fox Film Corporation
Road Trip,2,5,1,Comedy,DreamWorks SKG
Varsity Blues,0,1,0,Comedy,Paramount Pictures
The Artist,2,5,1,Drama,France 3 Cinéma
The Unborn,1,1,1,Horror,Rogue Pictures
Moonrise Kingdom,1,5,1,Comedy,Scott Rudin Productions
The Texas Chainsaw Massacre: The Beginning,0,10,1,Horror,New Line Cinema
The Young Messiah,1,3,1,Drama,Focus Features
The Master of Disguise,0,8,0,Comedy,Columbia Pictures
Pan's Labyrinth,2,5,1,Fantasy,Estudios Picasso
See Spot Run,0,3,0,Action,Village Roadshow Pictures
Baby Boy,1,6,1,Crime,Columbia Pictures
The Roommate,1,2,1,Thriller,Vertigo Entertainment
Joe Dirt,1,4,1,Mystery,Columbia Pictures
Double Impact,1,8,1,Thriller,Stone Group Pictures
Hot Fuzz,1,2,1,Crime,Universal Pictures
The Women,1,9,1,Comedy,New Line Cinema
Vicky Cristina Barcelona,2,8,1,Drama,The Weinstein Company
Arn: The Knight Templar,0,12,1,Action,Danmarks Radio (DR)
Boys and Girls,1,6,1,Comedy,Punch 21 Productions
White Oleander,0,10,0,Drama,Pandora Filmproduktion
Jennifer's Body,1,9,1,Comedy,Dune Entertainment
Drowning Mona,1,3,1,Comedy,Code Entertainment
Radio Days,0,1,1,Comedy,Orion Pictures
Remember Me,0,3,1,Drama,Summit Entertainment
How to Deal,0,7,0,Drama,Golden Mean
My Stepmother is an Alien,1,12,1,Comedy,Weintraub Entertainment Group
Philadelphia,4,12,1,Drama,TriStar Pictures
The Thirteenth Floor,1,4,1,Thriller,Columbia Pictures
The Cookout,1,9,1,Comedy,Cookout Productions
Meteor,0,10,0,Action,Palladium Productions
Duets,0,9,0,Comedy,Hollywood Pictures
Hollywood Ending,0,5,1,Comedy,DreamWorks SKG
Detroit Rock City,1,8,1,Comedy,New Line Cinema
Highlander,1,3,1,Adventure,Davis-Panzer Productions
Things We Lost in the Fire,1,9,1,Drama,DreamWorks SKG
Steel,1,8,1,Science Fiction,Quincy Jones-David Salzman Entertainment
The Immigrant,1,7,1,Drama,Kingsgate Films
The White Countess,0,10,0,Drama,Sony Pictures Classics
Trance,1,3,1,Thriller,Cloud Eight Films
Soul Plane,1,5,1,Romance,Metro-Goldwyn-Mayer (MGM)
Welcome to the Sticks,1,1,1,Comedy,Centre National de la Cinématographie
Enter the Void,1,5,1,Fantasy,BIM Distribuzione
Vamps,0,8,1,Comedy,Lucky Monkey Pictures
Hachi: A Dog's Tale,1,6,1,Drama,Grand Army Entertainment
Zulu,0,12,1,Crime,Eskwad
The Homesman,1,5,1,Western,The Javelina Film Company
Juwanna Mann,0,6,1,Comedy,Warner Bros.
Ararat,0,5,0,War,Alliance Atlantis Communications
Slow Burn,1,9,1,Mystery,Sidney Kimmel Entertainment
Wasabi,0,10,1,Drama,Canal Plus
Slither,0,3,1,Comedy,Universal Pictures
Beverly Hills Cop,8,11,1,Action,Paramount Pictures
Home Alone,9,11,1,Comedy,Twentieth Century Fox Film Corporation
Three Men and a Baby,0,11,0,Family,Touchstone Pictures
Tootsie,5,12,2,Comedy,Columbia Pictures Corporation
Top Gun,8,5,1,Action,Paramount Pictures
"Crouching Tiger, Hidden Dragon",4,10,1,Adventure,Sony Pictures Classics
American Beauty,6,9,1,Drama,DreamWorks SKG
The King's Speech,5,9,1,Drama,The Weinstein Company
Twins,5,12,1,Comedy,Universal Pictures
The Yellow Handkerchief,1,12,1,Drama,area japan
The Color Purple,4,12,1,Drama,Amblin Entertainment
Tidal Wave,1,6,1,Action,Polygon Entertainment
The Imitation Game,3,11,1,History,Black Bear Pictures
Private Benjamin,0,10,0,Comedy,Warner Bros.
Coal Miner's Daughter,2,3,1,Drama,Universal Pictures
Diary of a Wimpy Kid,1,3,1,Comedy,Dune Entertainment
Mama,2,1,1,Horror,Universal Pictures
National Lampoon's Vacation,2,7,1,Comedy,Warner Bros.
Bad Grandpa,2,10,1,Comedy,Paramount Pictures
The Queen,2,9,1,Drama,BIM Distribuzione
Beetlejuice,2,2,1,Fantasy,"Geffen Company, The"
Why Did I Get Married?,1,10,1,Comedy,Lions Gate Films
Little Women,0,12,1,Drama,Columbia Pictures
The Woman in Black,2,2,1,Drama,Hammer Film Productions
When a Stranger Calls,1,2,1,Horror,Davis Entertainment
Big Fat Liar,1,2,1,Comedy,Universal Pictures
The Deer Hunter,2,12,2,Drama,Universal Pictures
Wag the Dog,1,12,1,Comedy,New Line Cinema
The Lizzie McGuire Movie,1,4,1,Family,Walt Disney Pictures
Snitch,1,2,1,Thriller,Front Street Productions
Krampus,1,11,1,Horror,Universal Pictures
The Faculty,1,12,1,Horror,Dimension Films
What's Love Got to Do with It,0,6,0,Drama,Touchstone Pictures
Cop Land,1,8,1,Action,Miramax Films
Not Another Teen Movie,1,12,1,Comedy,Original Film
End of Watch,1,9,1,Crime,Emmett/Furla Films
The Skulls,1,3,1,Crime,Universal Pictures
The Theory of Everything,2,11,1,Drama,Working Title Films
Malibu's Most Wanted,0,4,0,Comedy,Karz Entertainment
Where the Heart Is,1,4,1,Comedy,Twentieth Century Fox Film Corporation
Lawrence of Arabia,6,12,3,Adventure,Horizon Pictures (II)
Halloween II,1,8,1,Horror,Dimension Films
Wild,1,12,1,Drama,Fox Searchlight Pictures
The Last House on the Left,1,3,1,Crime,Rogue Pictures
The Wedding Date,1,2,1,Comedy,26 Films
Halloween: Resurrection,1,7,1,Horror,Dimension Films
The Princess Bride,1,9,1,Adventure,Act III Communications
The Great Debaters,1,12,1,Drama,The Weinstein Company
Drive,1,8,1,Drama,Bold Films
Confessions of a Teenage Drama Queen,1,2,1,Comedy,Walt Disney Pictures
The Object of My Affection,1,4,1,Comedy,Twentieth Century Fox Film Corporation
28 Weeks Later,1,4,1,Horror,DNA Films
When the Game Stands Tall,1,8,1,Drama,Mandalay Pictures
Because of Winn-Dixie,1,2,1,Comedy,Twentieth Century Fox Film Corporation
Love & Basketball,1,4,1,Action,40 Acres & A Mule Filmworks
Grosse Pointe Blank,1,4,0,Action,Caravan Pictures
All About Steve,1,9,1,Comedy,Dune Entertainment
Book of Shadows: Blair Witch 2,0,10,0,Mystery,Artisan Entertainment
The Craft,1,5,1,Drama,Columbia Pictures
Match Point,2,10,1,Drama,DreamWorks
Ramona and Beezus,0,7,0,Comedy,Dune Entertainment
The Remains of the Day,1,11,1,Drama,Columbia Pictures
Boogie Nights,1,9,1,Drama,New Line Cinema
Nowhere to Run,0,1,0,Action,Columbia Pictures
Flicka,1,10,1,Drama,Twentieth Century Fox Film Corporation
The Hills Have Eyes 2,0,3,1,Horror,Dune Entertainment
Urban Legends: Final Cut,1,9,1,Horror,Original Film
Tuck Everlasting,0,10,0,Fantasy,Walt Disney Pictures
The Marine,1,10,1,Action,Twentieth Century Fox Film Corporation
Keanu,1,4,1,Action,New Line Cinema
Country Strong,1,12,1,Drama,Maguire Entertainment
Disturbing Behavior,1,7,1,Mystery,Village Roadshow Pictures
The Place Beyond the Pines,1,3,1,Drama,Sidney Kimmel Entertainment
The November Man,1,8,1,Crime,Irish Dreamtime
Eye of the Beholder,0,9,1,Drama,Destination Films
The Hurt Locker,1,10,1,Drama,Summit Entertainment
Firestarter,1,5,1,Fantasy,Universal Pictures
Killing Them Softly,1,9,1,Crime,Plan B Entertainment
A Most Wanted Man,1,7,1,Thriller,Senator Film Produktion
Freddy Got Fingered,0,4,0,Comedy,Regency Enterprises
VeggieTales: The Pirates Who Don't Do Anything,0,1,0,Adventure,Starz Animation
U2 3D,1,5,1,Music,National Geographic Entertainment
Highlander: Endgame,1,9,1,Action,Davis-Panzer Productions
Idlewild,0,8,0,Crime,Atlas Entertainment
One Day,1,3,1,Drama,Film 4
Whip It,1,9,1,Drama,Dune Entertainment
Knockaround Guys,1,9,1,Crime,Lawrence Bender Productions
Confidence,0,4,0,Action,Cinerenta Medienbeteiligungs KG
The Muse,0,8,0,Fantasy,October Films
De-Lovely,0,7,1,Drama,Metro-Goldwyn-Mayer (MGM)
New York Stories,0,3,1,Comedy,Touchstone Pictures
Barney's Great Adventure,0,1,0,Family,PolyGram Filmed Entertainment
The Man with the Iron Fists,1,11,1,Action,Arcade Pictures
Home Fries,1,11,1,Drama,Warner Bros.
Here On Earth,0,3,0,Romance,Fox 2000 Pictures
Brazil,0,2,1,Comedy,Embassy International Pictures
Raise Your Voice,1,8,1,Music,New Line Cinema
The Big Lebowski,1,3,1,Comedy,Gramercy Pictures
Black Snake Moan,1,12,1,Drama,Paramount Classics
Dark Blue,1,12,1,Action,United Artists
A Mighty Heart,1,1,1,Drama,Plan B Entertainment
Whatever It Takes,1,3,1,Drama,Columbia Pictures Corporation
Boat Trip,1,10,1,Comedy,Motion Picture Corporation of America
The Importance of Being Earnest,0,5,0,Comedy,Ealing Studios
Hoot,0,5,0,Drama,The Kennedy/Marshall Company
In Bruges,1,2,1,Comedy,Blueprint Pictures
Peeples,0,5,1,Comedy,34th Street Films
The Rocker,1,8,1,Comedy,Fox Atomic
Post Grad,1,8,1,Comedy,Dune Entertainment
Promised Land,1,9,1,Drama,Participant Media
Whatever Works,1,6,1,Comedy,Sony Pictures Classics
The In Crowd,1,7,1,Thriller,Morgan Creek Productions
The Three Burials of Melquiades Estrada,1,11,1,Adventure,The Javelina Film Company
Jakob the Liar,0,9,0,Comedy,Columbia Pictures
Kiss Kiss Bang Bang,1,9,1,Action,Silver Pictures
Idle Hands,1,4,1,Thriller,Columbia Pictures Corporation
Mulholland Drive,1,5,1,Thriller,Asymmetrical Productions
Blood and Chocolate,0,1,0,Drama,Lakeshore Entertainment
You Will Meet a Tall Dark Stranger,0,5,1,Comedy,Antena 3 Films
Never Let Me Go,1,9,1,Drama,Fox Searchlight Pictures
Transsiberian,1,1,1,Thriller,Lietuvos Kinostudija
The Clan of the Cave Bear,0,1,1,Adventure,The Guber-Peters Company
Crazy in Alabama,0,10,0,Comedy,Columbia Pictures
Funny Games,1,10,1,Horror,Celluloid Dreams
Listening,0,9,0,Drama,Young Medium
Felicia's Journey,0,11,0,Drama,Alliance Atlantis Communications
Metropolis,1,1,21,Drama,Paramount Pictures
District B13,1,11,1,Action,Canal Plus
Things to Do in Denver When You're Dead,1,12,1,Drama,Miramax Films
The Assassin,1,8,1,Action,Media Asia Films
Buffalo Soldiers,0,9,1,Drama,Grosvenor Park Films LLP
The Return,0,6,0,Thriller,Ren Film
Ong Bak 2,1,12,1,Adventure,Iyara Films
Centurion,1,2,1,Adventure,Pathé Pictures International
Silent Trigger,1,6,1,Drama,Newmarket Capital Group
The Midnight Meat Train,1,8,1,Mystery,Lions Gate Films
The Son of No One,0,11,1,Drama,Millennium Films
The Good Night,1,1,1,Comedy,Destination Films
Bathory: Countess of Blood,0,7,0,Drama,Lunar Films
Khumba,1,7,1,Animation,Triggerfish Animation
Automata,0,10,1,Thriller,Green Moon Productions
Dungeons & Dragons: Wrath of the Dragon God,0,1,0,Action,Skyline Films
Chiamatemi Francesco - Il Papa della gente,0,12,1,Drama,Taodue Film
Shinjuku Incident,0,3,1,Drama,JCE Movies
Pandaemonium,0,6,0,Drama,Arts Council of England
Groundhog Day,2,2,1,Romance,Columbia Pictures
Magic Mike XXL,2,7,1,Comedy,Warner Bros.
Romeo + Juliet,3,10,1,Drama,Bazmark Films
Sarah's Key,1,9,1,Drama,France 2 Cinéma
Freedom,0,8,1,Drama,Production One
Unforgiven,3,8,1,Western,Malpaso Productions
Manderlay,1,5,1,Drama,Zentropa Entertainments
Slumdog Millionaire,5,5,1,Drama,Fox Searchlight Pictures
Fatal Attraction,7,9,1,Drama,Paramount Pictures
Pretty Woman,9,3,1,Romance,Touchstone Pictures
Crocodile Dundee II,5,5,0,Adventure,Paramount Pictures
Broken Horses,0,3,0,Thriller,Reliance Entertainment
Born on the Fourth of July,4,12,1,Drama,Universal Pictures
Cool Runnings,3,9,1,Comedy,Walt Disney
My Bloody Valentine,2,1,1,Mystery,Lionsgate
Stomp the Yard,1,5,1,Drama,Rainforest Films
The Spy Who Loved Me,8,7,2,Adventure,United Artists
Urban Legend,2,9,1,Horror,Original Film
White Fang,1,1,1,Action,Walt Disney Pictures
Superstar,0,10,0,Comedy,SNL Studios
The Iron Lady,2,12,1,History,UK Film Council
Jonah: A VeggieTales Movie,0,10,0,Action,Big Idea Productions
Poetic Justice,1,7,1,Drama,Columbia Pictures
All About the Benjamins,1,3,1,Action,New Line Cinema
Vampire in Brooklyn,1,10,1,Comedy,Paramount Pictures
Exorcist II: The Heretic,2,6,2,Horror,Warner Bros.
An American Haunting,0,5,0,Horror,Media Pro Pictures
My Boss's Daughter,0,8,1,Comedy,Dimension Films
A Perfect Getaway,1,6,1,Thriller,Davis Entertainment
Our Family Wedding,1,3,1,Comedy,Fox Searchlight Pictures
Dead Man on Campus,0,8,0,Comedy,Paramount Pictures
Tea with Mussolini,1,3,1,Comedy,Medusa Produzione
Thinner,0,10,0,Horror,Paramount Pictures
"New York, New York",0,6,0,Drama,United Artists
Crooklyn,0,5,0,Comedy,Universal Pictures
I Think I Love My Wife,1,3,1,Comedy,Fox Searchlight Pictures
Jason X,1,7,1,Horror,New Line Cinema
Bobby,0,9,0,History,The Weinstein Company
Head Over Heels,1,2,1,Comedy,Universal Studios
Fun Size,1,10,1,Comedy,Paramount Pictures
The Diving Bell and the Butterfly,1,5,1,Drama,France 3 Cinéma
Little Children,1,10,1,Romance,New Line Cinema
Gossip,1,4,1,Drama,Village Roadshow Pictures
A Walk on the Moon,0,1,1,Drama,Miramax Films
Catch a Fire,1,10,0,Action,Mirage Enterprises
Jefferson in Paris,1,3,1,Drama,Merchant Ivory Productions
Easy Virtue,0,1,0,Comedy,BBC Films
Caravans,0,11,0,Action,Universal Pictures
Mr. Turner,1,10,0,History,Film4
Wild Grass,0,5,0,Drama,France 2 Cinéma
Amen.,0,2,0,Drama,Renn Productions
Reign of Assassins,0,9,1,History,Lion Rock Productions
Margaret,1,9,1,Drama,Fox Searchlight Pictures
Stan Helsing,0,10,1,Comedy,Insight Productions
Flipped,1,8,1,Romance,Reiner / Greisman Productions
Brokeback Mountain,3,9,1,Drama,River Road Entertainment
Clueless,0,7,1,Comedy,Paramount Pictures
Far from Heaven,1,9,1,Drama,Clear Blue Sky Productions
Hot Tub Time Machine 2,1,2,1,Comedy,Paramount Pictures
Quills,1,11,1,Drama,Fox Searchlight Pictures
Seven Psychopaths,1,9,1,Comedy,Blueprint Pictures
The Caveman's Valentine,0,1,0,Drama,Franchise Pictures
Downfall,2,9,1,Drama,Degeto Film
The Sea Inside,1,9,1,Drama,Canal Plus
Under the Skin,1,3,1,Thriller,Scottish Screen
"Good Morning, Vietnam",3,12,1,Comedy,Silver Screen Partners III
Justin Bieber: Never Say Never,2,2,1,Documentary,Insurge Pictures
Black Swan,4,12,1,Drama,Fox Searchlight Pictures
The Godfather: Part II,3,12,2,Drama,Paramount Pictures
Save the Last Dance,2,1,1,Drama,MTV Films
A Nightmare on Elm Street 4: The Dream Master,2,8,1,Horror,New Line Cinema
Miracles from Heaven,1,3,1,Drama,TriStar Pictures
"Dude, Where’s My Car?",2,12,1,Comedy,Twentieth Century Fox Film Corporation
Young Guns,1,8,1,Crime,Twentieth Century Fox Film Corporation
St. Vincent,1,10,1,Comedy,The Weinstein Company
About Last Night,1,2,1,Comedy,"Screen Gems, Inc."
10 Things I Hate About You,1,3,1,Comedy,Mad Chance
The New Guy,0,5,1,Comedy,Revolution Studios
National Lampoon's Loaded Weapon 1,0,2,0,Comedy,New Line Cinema
The Shallows,2,6,1,Horror,Columbia Pictures
The Butterfly Effect,2,1,1,Science Fiction,New Line Cinema
Snow Day,0,2,0,Comedy,Paramount Pictures
This Christmas,0,11,1,Comedy,Screen Gems
